N,avg
3,0.18882250785827637
4,0.23592954874038696
5,0.2911778688430786
6,0.3499862551689148
7,0.42165249586105347
8,0.4929739236831665
9,0.575738787651062
10,0.668563961982727
11,0.8472540378570557
12,0.9431414604187012
13,1.3552157878875732
14,1.2156296372413635
15,1.305002748966217
16,1.4743303656578064
17,1.6507325172424316
18,1.9846675395965576
19,2.0754823684692383
20,2.298107326030731
21,2.5337995290756226
22,2.8966896533966064
23,3.0832894444465637
24,3.403480589389801
